date,matchday,opponent,minute,time_of_shot_after_entry,player,result,xg,body_part,dominant_foot,final_third_entry,entry_method,type_of_attack,pre_assist,pre_assist_type,assisted_by,assist_type,shot_type,touches_before_shot,zone,distance,shot_angle,beaten_by,linkup_play,shot_under_pressure,defenders_between,defensive_line,overload_zone,defensive_line_shape,number_in_box,transition,defensive_error,opponent_formation,
1/18/2025,22,Aston Villa,55,5,Kai Havertz,goal,0.35,left,yes,left,dribble,positional,Gabriel,normal pass,Leandro Trossard,driven cross,volley,0,2,close,straight,n/a,no,yes,0,mid,n/a ,organized,7,no,no,4231,
1/18/2025,22,Aston Villa,65,n/a,Gabriel Martinelli,off target,0.05,right,yes,right corner,set piece,set piece,n/a,n/a,Gabriel,duel,volley,0,6,medium,straight,n/a,no,yes,4,low,n/a,organized,10,no,no,4231,
1/18/2025,22,Aston Villa,65,n/a,Leandro Trossard,blocked,0.01,right,yes,right corner,set piece,set piece,n/a,n/a,Gabriel,through ball over top,volley,0,2,close,straight,n/a,no,yes,1,low,n/a,organized,8,no,no,4231,same play as row 169
1/18/2025,22,Aston Villa,74,4,Declan Rice,off target,0.02,right,yes,left,dribble,positional,Gabriel,normal pass,Leandro Trossard,normal pass,finesse,1,7,medium,wide,n/a,no,yes,2,low,n/a,organized,8,no,no,4231,
1/18/2025,22,Aston Villa,91,4,Mikel Merino,off target,0.09,left,yes,left halfspace,through ball over top,positional,Leandro Trossard,driven cross,Martin Odegaard,normal pass,normal,1,2,close,straight,n/a,no,yes,3,low,n/a,organized,8,no,no,4231,
1/25/2025,23,Wolves,19,7,Kai Havertz,off target,0.06,head,no,middle,normal pass,positional,Gabriel Martinelli,normal pass,Leandro Trossard,floated cross,header,0,2,close,straight,n/a,no,yes,1,mid,n/a,organized,6,no,no,343,
1/25/2025,23,Wolves,24,3,Kai Havertz,saved,0.29,head,no,left halfspace,dribble,positional,Declan Rice,normal pass,Leandro Trossard,floated cross,header,0,2,close,straight,n/a,no,no,0,high,n/a,organized,4,no,no,343,broke press well
1/25/2025,23,Wolves,53,4,Declan Rice,saved,0.05,right,yes,middle,normal pass,positional,Thomas Partey,normal pass,Gabriel Martinelli,normal pass,normal,1,3,close,wide,n/a,no,yes,1,mid,n/a,organized,3,no,no,343,playing with 10 men
1/25/2025,23,Wolves,62,n/a,Kai Havertz,off target,0.13,head,no,free kick,set piece,set piece,n/a,n/a,Declan Rice,cross from free kick,header,0,2,close,straight,n/a,no,yes,1,low,n/a,organized,9,no,no,343,playing with 10 men
1/25/2025,23,Wolves,74,9,Riccardo Calafiori,goal,0.06,left,yes,right,dribble,positional,n/a,n/a,n/a,n/a,volley,0,4,close,straight,n/a,no,yes,2,low,n/a,organized,6,no,no,343,"playing with 10 men. cross from Martinelli, clearance falls to Calafiori. "
2/2/2025,24,Manchester City,2,3,Martin Odegaard,goal,0.43,left,yes,middle,recovery,transition,Declan Rice,normal pass,Kai Havertz,cutback,normal,0,2,close,straight,n/a,no,yes,1,mid,n/a,disjointed,2,yes,yes,343,
2/2/2025,24,Manchester City,26,2,Kai Havertz,off target,0.4,left,yes,middle,recovery,transition,n/a,n/a,Declan Rice,duel,normal,1,2,close,straight,n/a,no,no,1,mid,n/a,disjointed,2,yes,yes,343,
2/2/2025,24,Manchester City,57,3,Thomas Partey,goal,0.04,right,yes,middle,recovery,positional,n/a,n/a,n/a,n/a,normal,3,6,medium,wide,n/a,no,no,1,mid,n/a,organized,5,no,yes,343,foden gave ball  away to partey when they were about to break
2/2/2025,24,Manchester City,62,3,Myles Lewis-Skelly,goal,0.09,right,no,left,normal pass,positional,Gabriel,normal pass,Declan Rice,normal pass,normal,3,2,close,wide,n/a,no,yes,2,low,n/a,organized,6,no,no,343,
2/2/2025,24,Manchester City,76,5,Kai Havertz,goal,0.13,left,yes,left halfspace,dribble,transition,Thomas Partey,through ball,Gabriel Martinelli,normal pass,normal,2,2,close,wide,n/a,no,yes,1,high,n/a,organized,5,yes,no,343,
2/2/2025,24,Manchester City,93,4,Ethan Nwaneri,goal,0.05,left,yes,right,long pass,positional,Gabriel,normal pass,Declan Rice,long pass,finesse,4,6,medium,wide,Ethan Nwaneri,no,no,1,mid,n/a,organized,6,no,no,343,
2/15/2025,25,Leicester City,8,10,Leandro Trossard,saved,0.34,right,yes,middle,through ball over top,positional,n/a,n/a,Martin Odegaard,through ball over top,volley,0,1,very close,wide,n/a,no,no,0,mid,n/a,organized,6,no,no,343,
2/15/2025,25,Leicester City,35,3,Raheem Sterling,deflected off target,0.03,right,yes,middle,recovery,transition,n/a,n/a,n/a,n/a,normal,5,5,medium,straight,n/a,no,yes,1,mid,n/a,organized,0,yes,no,343,
2/15/2025,25,Leicester City,76,3,Ethan Nwaneri,off target,0.05,right,no,middle,dribble,positional,Mikel Merino,normal pass,Declan Rice,normal pass,normal,3,3,close,wide,n/a,no,no,1,high,n/a,organized,3,no,no,343,
2/15/2025,25,Leicester City,81,10,Mikel Merino,goal,0.43,head,no,right halfspace,normal pass,positional,Jurrien Timber,normal pass,Ethan Nwaneri,floated cross,header,0,2,close,straight,n/a,no,no,0,low,n/a,organized,8,no,no,343,
2/15/2025,25,Leicester City,87,5,Mikel Merino,goal,0.54,left,yes,left,dribble,transition,Riccardo Calafiori,normal pass,Leandro Trossard,driven cross,normal,0,2,close,straight,Leandro Trossard,no,no,0,high,n/a,organized,6,yes,no,343,
2/22/2025,26,West Ham,14,10,Mikel Merino,off target,0.37,left,yes,right halfspace,normal pass,positional,Gabriel,normal pass,Thomas Partey,through ball over top,volley,0,1,very close,straight,n/a,no,yes,0,low,n/a,organized,5,no,no,532,
2/22/2025,26,West Ham,22,10,Riccardo Calafiori,saved,0.05,left,yes,right,recovery,positional,Martin Odegaard,normal pass,Mikel Merino,normal pass,normal,0,7,medium,wide,n/a,no,yes,2,low,n/a,organized,7,no,no,532,
2/22/2025,26,West Ham,39,n/a,Declan Rice,blocked,0.04,right,yes,left corner,recovery,positional,Mikel Merino,normal pass,Riccardo Calafiori,normal pass,normal,0,4,close,wide,n/a,no,yes,2,low,n/a,organized,9,no,no,532,
2/22/2025,26,West Ham,62,5,Oleksandr ZInchenko,blocked,0.06,left,yes,right halfspace,normal pass,positional,Oleksander Zinchenko,,Leandro Trossard,driven cross,volley,0,2,close,straight,n/a,no,yes,1,low,n/a,organized,8,no,no,532,
2/22/2025,26,West Ham,62,6,Oleksandr ZInchenko,blocked,0.05,right,no,right halfspace,normal pass,positional,n/a,n/a,Martin Odegaard,duel,normal,0,2,close,straight,n/a,no,yes,2,low,n/a,organized,8,no,no,532,took place right after row 192
2/22/2025,26,West Ham,63,4,Leandro Trossard,saved,0.05,right,yes,right halfspace,normal pass,positional,Thomas Partey,normal pass,Martin Odegaard,normal pass,normal,2,4,close,wide,n/a,no,yes,2,low,n/a,organized,9,no,no,532,
