date,matchday,opponent,minute,time_of_shot_after_entry,player,result,xg,body_part,dominant_foot,final_third_entry,entry_method,type_of_attack,pre_assist,pre_assist_type,assisted_by,assist_type,shot_type,touches_before_shot,zone,distance,shot_angle,beaten_by,linkup_play,shot_under_pressure,defenders_between,defensive_line,overload_zone,defensive_line_shape,number_in_box,transition,defensive_error,opponent_formation,
4/5/2025,31,Everton,34,4,Leandro Trossard,goal,0.11,left,no,middle,dribble,transition,Declan Rice,duel,Raheem Sterling,normal pass,normal,3,4,close,wide,n/a,no,yes,2,high,n/a,organized,5,no,no,4231,
4/5/2025,31,Everton,48,4,Leandro Trossard,saved,0.33,right,yes,left halfspace,through ball over top,positional,William Saliba,normal pass,Jakub Kiwior,through ball over top,normal,1,1,very close,wide,n/a,no,yes,0,mid,n/a,organized,3,no,no,4231,
4/5/2025,31,Everton,64,n/a,Declan Rice,saved,0.12,right,yes,free kick,set piece,set piece,n/a,n/a,n/a,n/a,free kick,0,5,medium,straight,n/a,no,no,8,low,n/a,organized,10,no,no,4231,
4/5/2025,31,Everton,84,4,Gabriel Martinelli,saved,0.06,right,yes,left,dribble,positional,Jakub Kiwior,normal pass,Kieran Tierney,normal pass,normal,6,4,close,wide,Gabriel Martinelli,no,yes,2,low,n/a,organized,8,no,no,4231,
4/5/2025,31,Everton,89,6,Mikel Merino,off target,0.05,head,no,left,normal pass,positional,Gabriel Martinelli,normal pass,Kieran Tierney,floated cross,header,0,2,close,straight,n/a,no,yes,1,low,n/a,organized,9,no,no,4231,
4/12/2025,32,Brentford,9,10,Ethan Nwaneri,blocked,0.06,left,yes,right,normal pass,positional,Thomas Partey,floated cross,Declan Rice,normal pass,normal,2,2,close,straight,n/a,no,yes,2,low,n/a,organized,9,no,no,4231,
4/12/2025,32,Brentford,33,n/a,Oleksandr ZInchenko,off target,0.02,left,yes,right corner,set piece,set piece,n/a,n/a,n/a,n/a,normal,5,3,close,wide,n/a,no,yes,2,low,n/a,organized,10,no,no,4231,corner played short
4/12/2025,32,Brentford,41,5,Declan Rice,saved,0.04,left,no,left halfspace,dribble,positional,n/a,n/a,Leandro Trossard,normal pass,normal,8,4,close,narrow,Declan Rice,no,no,1,low,n/a,organized,8,no,no,4231,
4/12/2025,32,Brentford,47,3,Leandro Trossard,blocked,0.02,right,yes,middle,dribble,positional,Oleksander Zinchenko,normal pass,William Saliba,normal pass,normal,2,8,far,straight,n/a,no,yes,2,mid,n/a,organized,0,no,no,4231,
4/12/2025,32,Brentford,61,3,Thomas Partey,goal,0.3,right,yes,middle,dribble,transition,David Raya,normal pass,Declan Rice,through ball,normal,0,3,close,straight,n/a,no,no,0,high,n/a,disjointed,5,yes,no,4231,
4/12/2025,32,Brentford,96,3,Bukayo Saka,off target,0.03,left,yes,right halfspace,normal pass,positional,Myles Lewis-Skelly,normal pass,Jakub Kiwior,normal pass,finesse,4,6,medium,wide,n/a,no,yes,2,mid,n/a,organized,6,no,no,4231,
4/20/2025,33,Ipswich Town,6,5,Leandro Trossard,blocked,0.14,right,yes,right,dribble,positional,Martin Odegaard,through ball,Bukayo Saka,cutback,normal,1,2,close,straight,n/a,yes,yes,1,low,n/a,organized,8,no,no,4411,
4/20/2025,33,Ipswich Town,14,4,Leandro Trossard,goal,0.11,right,yes,right halfspace,dribble,positional,Bukayo Saka,cutback,Martin Odegaard,normal pass,normal,1,2,close,straight,n/a,no,yes,3,mid,n/a,organized,6,no,no,4411,
4/20/2025,33,Ipswich Town,24,n/a,Mikel Merino,off target,0.37,head,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,header,0,1,very close,wide,n/a,no,no,0,low,n/a,organized,10,no,no,4411,
4/20/2025,33,Ipswich Town,28,5,Gabriel Martinelli,goal,0.52,right,yes,right,dribble,positional,Bukayo Saka,normal pass,Mikel Merino,through ball,normal,0,2,close,straight,Bukayo Saka,yes,no,0,high,n/a,organized,7,no,no,4411,
4/20/2025,33,Ipswich Town,36,4,Bukayo Saka,off target,0.05,left,yes,right halfspace,normal pass,positional,Ben White,normal pass,Martin Odegaard,normal pass,finesse,4,3,close,wide,n/a,no,yes,3,low,n/a,organized,7,no,no,4411,
4/20/2025,33,Ipswich Town,38,3,Bukayo Saka,off target,0.46,left,yes,right halfspace,normal pass,positional,Martin Odegaard,normal pass,Mikel Merino,through ball,normal,1,2,close,straight,n/a,yes,yes,0,mid,n/a,organized,5,no,no,4411,
4/20/2025,33,Ipswich Town,44,4,Bukayo Saka,off target,0.14,right,no,right halfspace,dribble,positional,Martin Odegaard,normal pass,Leandro Trossard,driven cross,normal,0,2,close,straight,Martin Odegaard,no,yes,1,mid,n/a,organized,6,no,no,4411,
4/20/2025,33,Ipswich Town,69,n/a,Leandro Trossard,goal,0.06,right,yes,left corner,set piece,set piece,Martin Odegaard,normal pass,Declan Rice,normal pass,normal,2,4,close,wide,n/a,no,yes,2,low,n/a,organized,10,no,no,4411,corner taken short
4/20/2025,33,Ipswich Town,80,5,Myles Lewis-Skelly,deflected off target,0.1,right,no,middle,normal pass,positional,Martin Odegaard,normal pass,Leandro Trossard,normal pass,normal,0,2,close,straight,n/a,yes,yes,2,low,n/a,organized,8,no,no,4411,
4/20/2025,33,Ipswich Town,87,9,Martin Odegaard,off target,0.03,left,yes,right,normal pass,positional,Martin Odegaard,normal pass,Ben White,normal pass,normal,2,6,medium,straight,Martin Odegaard,no,yes,2,low,n/a,organized,7,no,no,4411,
4/20/2025,33,Ipswich Town,87,5,Nathan Butler-Oyedeji,saved,0.09,right,yes,middle,normal pass,positional,n/a,n/a,n/a,n/a,normal,0,2,close,straight,n/a,no,yes,2,low,n/a,organized,7,no,no,4411,intercepted pass falls to Oyedeji
4/20/2025,33,Ipswich Town,88,n/a,Ethan Nwaneri,goal,0.07,left,yes,right corner,set piece,set piece,Raheem Sterling,normal pass,Oleksander Zinchenko,normal pass,normal,4,2,close,straight,Ethan Nwaneri,no,yes,3,low,n/a,organized,10,no,no,4411,corner played short
4/23/2025,34,Crystal Palace,3,n/a,Jakub Kiwior,goal,0.12,head,no,free kick,set piece,set piece,n/a,n/a,Martin Odegaard,cross from free kick,header,0,2,close,straight,n/a,no,no,0,low,n/a,organized,8,no,no,541,
4/23/2025,34,Crystal Palace,23,6,Declan Rice,off target,0.05,right,yes,right,normal pass,positional,Leandro Trossard,normal pass,Raheem Sterling,normal pass,normal,1,5,medium,straight,n/a,no,yes,2,mid,n/a,organized,4,no,no,541,
4/23/2025,34,Crystal Palace,42,5,Leandro Trossard,goal,0.1,left,no,right,dribble,positional,Thomas Partey,normal pass,Jurrien Timber,normal pass,normal,3,2,close,straight,Jurrien Timber,no,yes,3,mid,n/a,organized,6,no,no,541,
4/23/2025,34,Crystal Palace,47,n/a,William Saliba,blocked,0.52,right,yes,free kick,set piece,set piece,n/a,n/a,n/a,n/a,normal,1,2,close,straight,n/a,no,yes,2,low,n/a,organized,9,no,no,541,
4/23/2025,34,Crystal Palace,47,n/a,Leandro Trossard,blocked,0.76,left,no,free kick,set piece,set piece,n/a,n/a,n/a,n/a,normal,0,1,very close,straight,n/a,no,yes,2,low,n/a,organized,9,no,no,541,took same play as 263
4/23/2025,34,Crystal Palace,80,7,Bukayo Saka,saved,0.42,left,yes,left,dribble,positional,Martin Odegaard,normal pass,Gabriel Martinelli,floated cross,volley,0,2,close,straight,Martin Odegaard,no,yes,1,mid,n/a,organized,8,no,no,541,
4/23/2025,34,Crystal Palace,92,5,Gabriel Martinelli,off target,0.04,left,no,left,through ball,transition,n/a,n/a,Kieran Tierney,through ball,normal,4,4,close,narrow,n/a,no,yes,0,high,n/a,organized,3,yes,no,541,quick throw in
5/3/2025,35,Bournemouth,15,3,Declan Rice,off target,0.06,left,no,middle,through ball,positional,Martin Odegaard,normal pass,Gabriel Martinelli,through ball,normal,0,4,close,wide,n/a,yes,yes,1,mid,n/a,organized,3,no,no,541,
5/3/2025,35,Bournemouth,16,3,Declan Rice,off target,0.06,right,yes,left,dribble,positional,Jakub Kiwior,normal pass,Gabriel Martinelli,cutback,volley,0,2,close,straight,Gabriel Martinelli,no,no,2,mid,n/a,organized,5,no,no,541,
5/3/2025,35,Bournemouth,27,8,Gabriel Martinelli,off target,0.08,left,no,right,recovery,transition,Leandro Trossard,normal pass,Bukayo Saka,normal pass,normal,2,2,close,straight,n/a,no,yes,2,mid,n/a,organized,6,yes,no,541,
5/3/2025,35,Bournemouth,31,7,Leandro Trossard,saved,0.12,head,no,left halfspace,normal pass,positional,Declan Rice,normal pass,Gabriel Martinelli,floated cross,header,0,2,close,straight,Gabriel Martinelli,no,yes,1,mid,n/a,organized,7,no,no,541,
5/3/2025,35,Bournemouth,34,4,Declan Rice,goal,0.58,right,yes,middle,normal pass,positional,Thomas Partey,normal pass,Martin Odegaard,through ball,normal,1,3,close,wide,n/a,no,no,1,mid,n/a,organized,4,no,no,541,
5/3/2025,35,Bournemouth,54,8,Bukayo Saka,saved,0.35,head,no,left,floated cross,positional,n/a,n/a,n/a,n/a,header,0,2,close,straight,n/a,no,no,2,low,n/a,organized,6,no,no,541,clearance  from cross falls to saka
5/3/2025,35,Bournemouth,56,5,Bukayo Saka,off target,0.08,right,no,left halfspace,normal pass,positional,Thomas Partey,normal pass,Myles Lewis-Skelly,normal pass,finesse,3,4,close,wide,Bukayo Saka,no,yes,0,low,n/a,organized,7,no,no,541,
5/3/2025,35,Bournemouth,63,7,Gabriel Martinelli,saved,0.05,right,yes,right halfspace,dribble,positional,Ben White,normal pass,Declan Rice,normal pass,normal,3,4,close,wide,n/a,no,yes,1,mid,n/a,organized,7,no,no,541,
5/11/2025,36,Liverpool,3,n/a,Bukayo Saka,off target,0.28,left,yes,free kick,set piece,set piece,n/a,n/a,Martin Odegaard,cross from free kick,volley,0,2,close,wide,n/a,no,no,0,high,n/a,organized,5,no,no,433,
5/11/2025,36,Liverpool,15,5,Leandro Trossard,blocked,0.1,right,yes,middle,recovery,transition,n/a,n/a,n/a,n/a,normal,2,2,close,straight,n/a,no,yes,2,low,n/a,organized,5,yes,yes,433,
5/11/2025,36,Liverpool,46,6,Mikel Merino,blocked,0.36,right,no,left halfspace,dribble,positional,Myles Lewis-Skelly,normal pass,Leandro Trossard,cutback,normal,0,2,close,straight,Leandro Trossard,no,yes,3,mid,n/a,organized,7,no,no,433,
5/11/2025,36,Liverpool,46,7,Gabriel Martinelli,goal,0.33,head,no,left halfspace,normal pass,positional,Martin Odegaard,normal pass,Leandro Trossard,floated cross,header,0,2,close,straight,n/a,no,no,0,mid,n/a,organized,8,no,no,433,
5/11/2025,36,Liverpool,51,10,Leandro Trossard,off target,0.06,right,yes,right,dribble,positional,Martin Odegaard,normal pass,Bukayo Saka,normal pass,normal,2,2,close,straight,Bukayo Saka,no,yes,5,low,n/a,organized,8,no,no,433,
5/11/2025,36,Liverpool,54,5,Benjamin White,saved,0.05,right,yes,right,dribble,positional,Ben White,normal pass,Bukayo Saka,normal pass,normal,5,3,close,narrow,Ben White,no,yes,0,mid,n/a,organized,5,no,no,433,
5/11/2025,36,Liverpool,61,n/a,Gabriel Martinelli,saved,0.08,left,no,free kick,set piece,set piece,n/a,n/a,n/a,n/a,normal,0,2,close,straight,n/a,no,yes,4,low,n/a,organized,10,no,no,433,clearance falls to Martinelli
5/11/2025,36,Liverpool,70,5,Martin Odegaard,saved,0.03,left,yes,right halfspace,normal pass,positional,Martin Odegaard,normal pass,Bukayo Saka,normal pass,normal,1,5,medium,straight,n/a,no,no,2,low,n/a,organized,5,no,no,433,
5/11/2025,36,Liverpool,70,7,Mikel Merino,goal,0.49,head,no,right halfspace,normal pass,positional,n/a,n/a,n/a,n/a,header,0,1,very close,straight,n/a,no,no,0,low,n/a,organized,4,no,no,433,
5/11/2025,36,Liverpool,95,4,Martin Odegaard,off target,0.05,left,yes,middle,recovery,transition,n/a,n/a,n/a,n/a,normal,9,5,medium,straight,n/a,no,yes,2,high,n/a,organized,4,no,no,433,
5/18/2025,37,Newcastle,13,7,Leandro Trossard,off target,0.1,right,yes,left,normal pass,positional,Martin Odegaard,normal pass,Myles Lewis-Skelly,normal pass,normal,11,4,close,wide,Leandro Trossard,no,yes,3,low,n/a,organized,8,no,no,541,
5/18/2025,37,Newcastle,14,n/a,Thomas Partey,saved,0.57,head,no,right corner,set piece,set piece,n/a,n/a,Bukayo Saka,corner,header,0,1,very close,straight,n/a,no,yes,1,low,n/a,organized,10,no,no,541,
5/18/2025,37,Newcastle,50,4,Myles Lewis-Skelly,deflected off target,0.06,left,yes,left,normal pass,positional,Myles Lewis-Skelly,normal pass,Leandro Trossard,normal pass,normal,2,4,close,wide,Myles Lewis-Skelly,no,no,1,low,n/a,organized,7,no,no,541,
5/18/2025,37,Newcastle,55,5,Declan Rice,goal,0.03,right,yes,right,recovery,positional,Bukayo Saka,normal pass,Martin Odegaard,normal pass,normal,0,5,medium,straight,n/a,no,no,1,mid,n/a,organized,6,no,no,541,
5/18/2025,37,Newcastle,59,5,Bukayo Saka,blocked,0.04,left,yes,right,dribble,positional,n/a,n/a,Thomas Partey,long pass,normal,11,6,medium,wide,Bukayo Saka,no,yes,2,mid,n/a,organized,6,no,no,541,
5/18/2025,37,Newcastle,61,4,Bukayo Saka,saved,0.08,left,yes,right halfspace,dribble,transition,Gabriel Martinelli,normal pass,Martin Odegaard,normal pass,normal,7,3,close,wide,n/a,no,no,1,high,n/a,organized,5,yes,no,541,
5/18/2025,37,Newcastle,69,3,Benjamin White,off target,0.03,right,yes,right halfspace,normal pass,positional,n/a,n/a,Martin Odegaard,normal pass,normal,2,8,far,wide,n/a,no,no,1,mid,n/a,organized,3,no,no,541,
5/25/2025,38,Southampton,4,6,Mikel Merino,off target,0.1,head,no,left,through ball over top,positional,Oleksander Zinchenko,through ball over top,Gabriel Martinelli,floated cross,header,0,2,close,straight,n/a,no,no,1,low,n/a,organized,9,no,no,532,
5/25/2025,38,Southampton,7,7,Raheem Sterling,off target,0.09,left,no,right,dribble,positional,Ben White,normal pass,Ethan Nwaneri,normal pass,normal,2,2,close,straight,Ethan Nwaneri,no,no,2,low,n/a,organized,9,no,no,532,
5/25/2025,38,Southampton,24,8,Mikel Merino,off target,0.06,head,no,left,normal pass,positional,Oleksander Zinchenko,normal pass,Gabriel Martinelli,floated cross,header,0,1,very close,wide,n/a,no,yes,1,low,n/a,organized,9,no,no,532,
5/25/2025,38,Southampton,27,5,Thomas Partey,saved,0.02,right,yes,left halfspace,normal pass,positional,Oleksander Zinchenko,normal pass,Declan Rice,normal pass,normal,3,8,far,straight,n/a,no,no,3,low,n/a,organized,6,no,no,532,
5/25/2025,38,Southampton,41,3,Gabriel Martinelli,saved,0.29,right,yes,middle,through ball over top,positional,Thomas Partey,normal pass,Kieran Tierney,through ball over top,normal,2,2,close,straight,n/a,no,yes,0,high,n/a,organized,1,no,no,532,
5/25/2025,38,Southampton,43,5,Kieran Tierney,goal,0.44,right,no,right,through ball,positional,Gabriel Martinelli,through ball,Ben White,driven cross,normal,0,1,very close,wide,n/a,no,yes,1,low,n/a,organized,8,no,no,532,
5/25/2025,38,Southampton,59,3,Gabriel Martinelli,blocked,0.15,right,yes,right,through ball,positional,Ethan Nwaneri,through ball,Ben White,driven cross,normal,0,1,very close,straight,n/a,yes,yes,2,low,n/a,organized,10,no,no,532,
5/25/2025,38,Southampton,67,6,Oleksandr Zinchenko,blocked,0.14,left,yes,left halfspace,through ball,positional,Gabriel Martinelli,driven cross,Bukayo Saka,cutback,normal,0,2,close,straight,n/a,no,no,4,mid,n/a,organized,6,no,no,532,
5/25/2025,38,Southampton,76,4,Mikel Merino,blocked,0.06,left,yes,left halfspace,dribble,positional,n/a,n/a,n/a,n/a,volley,1,2,close,straight,n/a,no,yes,3,low,n/a,organized,9,no,no,532,
5/25/2025,38,Southampton,76,5,Declan Rice,saved,0.4,right,yes,left halfspace,dribble,positional,n/a,n/a,n/a,n/a,normal,1,2,close,straight,n/a,no,yes,1,low,n/a,organized,9,no,no,532,
5/25/2025,38,Southampton,90,9,Martin Odegaard,goal,0.02,left,yes,right halfspace,dribble,transition,Martin Odegaard,normal pass,Leandro Trossard,normal pass,normal,4,5,medium,straight,Martin Odegaard,no,yes,3,low,n/a,organized,5,yes,no,532,
